CL109,1,2005-08-24,1,2005-08-24,2017-03-31,Stambūs namų apyvokos prietaisai
CL109,1,2017-04-01,1,2017-04-01,,Temperatūros keitimo įranga
CL109,10,2005-08-24,10,2005-08-24,2017-03-31,Automatiniai daiktų išdavimo įtaisai
CL109,1A,2012-01-19,1A,2012-01-19,2017-03-31,Stambūs namų apyvokos prietaisai, išskyrus prietaisus su šaldymo įranga
CL109,1B,2012-01-19,1B,2012-01-19,2017-03-31,Stambūs namų apyvokos prietaisai su šaldymo įranga
CL109,2,2005-08-24,2,2005-08-24,2017-03-31,Smulkūs namų apyvokos prietaisai
CL109,2,2017-04-01,2,2017-04-01,,Ekranai, monitoriai ir įranga, kurioje yra ekranų, kurių paviršiaus plotas didesnis nei 100 cm2
CL109,3,2005-08-24,3,2005-08-24,2017-03-31,IT ir telekomunikacinė įranga
CL109,3,2017-04-01,3,2017-04-01,,Lempos
CL109,3A,2012-01-19,3A,2012-01-19,2017-03-31,Informacinių technologijų ir telekomunikacijų įranga, išskyrus kompiuterių monitorius
CL109,3B,2012-01-19,3B,2012-01-19,2017-03-31,Kompiuterių monitoriai
CL109,4,2005-08-24,4,2005-08-24,2017-03-31,Vartojimo įranga ir fotovoltinės plokštės
CL109,4,2017-04-01,4,2017-04-01,,Stambi įranga (bent vienas iš išorinių išmatavimų didesnis nei 50 cm)
CL109,4A,2012-01-19,4A,2012-01-19,2017-03-31,Vartojimo įranga, išskyrus televizorius, ir fotovoltinės plokštės
CL109,4B,2012-01-19,4B,2012-01-19,2017-03-31,Televizoriai
CL109,5,2005-08-24,5,2005-08-24,2017-03-31,Apšvietimo įranga
CL109,5,2017-04-01,5,2017-04-01,,Smulki įranga (nė vienas iš išorinių išmatavimų neviršija 50 cm)
CL109,5A,2012-01-19,5A,2012-01-19,2017-03-31,Apšvietimo įranga, išskyrus dujošvytes lempas
CL109,5B,2012-01-19,5B,2012-01-19,2017-03-31,Dujošvytės lempos (tiesios fluorescencinės lempos, kompaktinės fluorescencinės lempos, didelio ryškumo išlydžio lempos, įskaitant suslėgto natrio lempas ir metalų halidų lempas, žemo slėgio natrio lempos)
CL109,6,2005-08-24,6,2005-08-24,2017-03-31,Elektriniai ir elektroniniai įrankiai (išskyrus stambius stacionarius pramoninius prietaisus)
CL109,6,2017-04-01,6,2017-04-01,,Smulki IT ir telekomunikacijų įranga (nė vienas iš išorinių išmatavimų neviršija 50 cm)
CL109,7,2005-08-24,7,2005-08-24,2017-03-31,Žaislai, laisvalaikio ir sporto įranga
CL109,8,2005-08-24,8,2005-08-24,2017-03-31,Medicininiai prietaisai (išskyrus implantuotus ir infekuotus produktus)
CL109,9,2005-08-24,9,2005-08-24,2017-03-31,Stebėsenos ir kontrolės prietaisai
