CL110,AG10,2012-12-13,AG10,2012-12-13,,Padangos
CL110,AG11,2012-12-13,AG11,2012-12-13,,Padangos naujos (galioja iki 2020.12.31)
CL110,AG12,2012-12-13,AG12,2012-12-13,,Padangos restauruotos (galioja iki 2020.12.31)
CL110,AG13,2012-12-13,AG13,2012-12-13,,Padangos naudotos (galioja iki 2020.12.31)
CL110,AG14,2021-01-01,AG14,2021-01-01,,Motociklų ir lengvųjų automobilių padangos
CL110,AG15,2021-01-01,AG15,2021-01-01,,Autobusų, krovininių automobilių, žemės ūkio, miško ūkio, orlaivių, statybos ir pramonės paskirties transporto priemonių padangos ir kitos padangos, sveriančios daugiau kaip 3 kg
CL110,AG20,2012-12-13,AG20,2012-12-13,,Akumuliatoriai
CL110,AG30,2012-12-13,AG30,2012-12-13,,Baterijos (galvaniniai elementai)
CL110,AG40,2012-12-13,AG40,2012-12-13,,Vidaus degimo variklių filtrai
CL110,AG41,2012-12-13,AG41,2012-12-13,,Vidaus degimo variklių filtrai, degalų
CL110,AG42,2012-12-13,AG42,2012-12-13,,Vidaus degimo variklių filtrai, tepalų
CL110,AG43,2012-12-13,AG43,2012-12-13,,Vidaus degimo variklių filtrai, įsiurbiamo oro
CL110,AG50,2012-12-13,AG50,2012-12-13,,Automobilių hidrauliniai (tepaliniai) amortizatoriai
